user	instance_id	displayed_text	I carefully went over the examples and the instructions.:::Yes	how-causal-is-the-finding:::Causation	how-causal-is-the-finding:::Correlation	how-causal-is-the-finding:::No mention of a relation	how-causal-is-the-finding:::Explicitly states: no relation	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Correlation	span_annotation:::Causation	span_annotation:::Explicit mentions of no relation
5d84dcd73b2e8e0016b40450	Causality Examples.html	Causality Examples	I carefully went over the examples and the instructions.:::Yes																							[]	[]	[]
5d84dcd73b2e8e0016b40450	Biology_55_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: larger) to findings present in the existing literature , and in line with proposed minimum practical media effect sizes [72] . The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01. Further, we derived a 95% coincidence interval around this point estimate that ranged from 20.08 to 0.10 using a bootstrapping approach with 10 000 iterations.""><b>Finding:</b></span> The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01."		3																						[]	[]	[]
5d84dcd73b2e8e0016b40450	test_question_testing_Causation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Causation. Do not mark any words or phrases.		3																						[]	[]	[]
5d84dcd73b2e8e0016b40450	Consent.html	Consent						I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																[]	[]	[]
5d84dcd73b2e8e0016b40450	Biology_tweet_227_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  ""><b>Finding:</b></span> Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  "		3																						[]	[]	[]
5d84dcd73b2e8e0016b40450	Biology_230_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: CIN-1 S bed bugs are highly resistant to deltamethrin, with a high topical dose leading to no mortality. The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig. In contrast, there was no significant difference in the susceptibility to b-cyfluthrin between cuticular proteins knockdown and control bed bugs (Fig.""><b>Finding:</b></span> The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig."		3																						[]	[]	[]
5d84dcd73b2e8e0016b40450	Biology_55_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In Przybylski and Weinstein's review of prior literature, the two researchers strongly argue that earlier research is beset with such problems. ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report. Przybylski and Weinstein add, ""This pattern of findings further suggests that links reported in the literature might be influenced by publication bias, selective reporting, or an artefact of unobserved or hidden moderators.""""><b>Finding:</b></span> ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report."			2																					[]	[]	[]
5d84dcd73b2e8e0016b40450	Biology_230_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Sometimes, in the face of chemical and genetic trickery, brute force turns out to work best. SOURCE: Zhu et al. ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides.""""><b>Finding:</b></span> ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides."""				1																				[]	[]	[]
5d84dcd73b2e8e0016b40450	test_question_testing_Explicitly states: no relation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Explicitly states: no relation. Do not mark any words or phrases.					4																			[]	[]	[]
64ef3dcb4bec07c765c8ab70	Experience.html	Experience										5				3						2			Interesting study, very different from the majority of them	[]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_55_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: larger) to findings present in the existing literature , and in line with proposed minimum practical media effect sizes [72] . The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01. Further, we derived a 95% coincidence interval around this point estimate that ranged from 20.08 to 0.10 using a bootstrapping approach with 10 000 iterations.""><b>Finding:</b></span> The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01."			2																					[{'start': 560, 'end': 578, 'span': 'emi-partial effect', 'annotation': 'Correlation'}]	[]	[]
64ef3dcb4bec07c765c8ab70	test_question_testing_Causation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Causation. Do not mark any words or phrases.		3																						[]	[]	[]
64ef3dcb4bec07c765c8ab70	test_question_testing_Explicitly states: no relation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Explicitly states: no relation. Do not mark any words or phrases.					4																			[]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_tweet_173_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Uh oh.  instant #ramen linked to #metabolic syndrome.  ""><b>Finding:</b></span> Uh oh.  instant #ramen linked to #metabolic syndrome.  "			2																					[{'start': 260, 'end': 270, 'span': 'linked to ', 'annotation': 'Correlation'}]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_tweet_227_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  ""><b>Finding:</b></span> Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  "		3																						[]	[{'start': 370, 'end': 377, 'span': 'reduced', 'annotation': 'Causation'}]	[]
64ef3dcb4bec07c765c8ab70	Biology_77_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The study proposes that the light-stimulated production of SIK1 in turn switches off the molecular pathway that feeds into the clock mechanism, thereby halting the shifting response of the biological clock,"" the researchers wrote. Overall, the researchers found that the SIK1 protein delays the body clock's shifting response to time changes, and therefore causes complications for travelers and shift workers. ""It would appear that SIK1 plays a common role in our circadian clocks found throughout our body, and working as a hand-brake on our ability to shift our biorhythms and adjust to new time zones, whether these are real or artificial, such as those produced during shift work schedules,"" said Duffield.""><b>Finding:</b></span> Overall, the researchers found that the SIK1 protein delays the body clock's shifting response to time changes, and therefore causes complications for travelers and shift workers."		3																						[]	"[{'start': 1027, 'end': 1050, 'span': ""delays the body clock's"", 'annotation': 'Causation'}]"	[]
64ef3dcb4bec07c765c8ab70	Biology_tweet_173_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The 2 major dietary patterns were associated with distinct cardiometabolic risk factors. The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns. The prevalence of overweight in the adult population increased from 26% in 1998 to 32% in 2007 (1) and that of metabolic syndrome in the adult population increased from 25% to 31% in the same time period .""><b>Finding:</b></span> The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns."			2																					[{'start': 659, 'end': 679, 'span': 'was associated with ', 'annotation': 'Correlation'}]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_55_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In Przybylski and Weinstein's review of prior literature, the two researchers strongly argue that earlier research is beset with such problems. ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report. Przybylski and Weinstein add, ""This pattern of findings further suggests that links reported in the literature might be influenced by publication bias, selective reporting, or an artefact of unobserved or hidden moderators.""""><b>Finding:</b></span> ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report."					4																			[]	[]	[{'start': 890, 'end': 928, 'span': 'were not more or less likely to engage', 'annotation': 'Explicit mentions of no relation'}]
64ef3dcb4bec07c765c8ab70	Biology_tweet_227_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Interestingly, catches of adult lobsters were inversely correlated with those of juvenile lobsters, brown crabs, and velvet crabs, which may be evidence of competitive displacement and/or predation. Our findings provide evidence that temperate marine reserves can deliver fisheries and conservation benefits, and highlight the importance of investigating multispecies interactions, as the recovery of some species can have knock-on effects on others. If populations are to benefit from the protection afforded by MPAs, it is necessary that a number of individuals spend a substantial part of their lives within their boundaries .""><b>Finding:</b></span> Our findings provide evidence that temperate marine reserves can deliver fisheries and conservation benefits, and highlight the importance of investigating multispecies interactions, as the recovery of some species can have knock-on effects on others."			2																					[{'start': 825, 'end': 847, 'span': 'provide evidence that ', 'annotation': 'Correlation'}]	[]	[]
64ef3dcb4bec07c765c8ab70	Causality Examples.html	Causality Examples	I carefully went over the examples and the instructions.:::Yes																							[]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_108_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Our efforts to model the adult form of SMA were successful,"" says Kentaro Sahashi, M.D., Ph.D., a postdoctoral researcher and neurologist who is first author of the team's new paper. ""We observed delayed onset of motor neuron dysfunction; we noted also that SMN2 mis-splicing increases during the late stages of SMA, likely accelerating its progression in the body. We noted, importantly, marked liver and heart pathologies that were related to SMA's progression in adults.""""><b>Finding:</b></span> ""We observed delayed onset of motor neuron dysfunction; we noted also that SMN2 mis-splicing increases during the late stages of SMA, likely accelerating its progression in the body."		3																						[]	[{'start': 877, 'end': 888, 'span': ' increases ', 'annotation': 'Causation'}]	[]
64ef3dcb4bec07c765c8ab70	Consent.html	Consent						I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																[]	[]	[]
